,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
140,Monaco,High,39000.0,,,,,,,,,,,,,,,5481,7.320197044334972,140.53846153846155,1.0287692307692304
141,Mongolia,Lower middle,3278000.0,62.0,58.0,60.0,59.0,60.0,41.0,61.0,58.0,60.0,60.0,40.0,61.0,61.0,32.3,13885,7.598638818869282,4.23581452104942,0.03218642464917632
142,Montenegro,Upper middle,628000.0,,,,,,,,,,,,,,31.9,21056,7.433195670749072,33.52866242038217,0.24934347133757953
143,Montserrat,,5000.0,,,,,,,,,,,,,,,830,7.276173285198556,166.0,1.2093
144,Morocco,Lower middle,36911000.0,,,,,,,,,,,,,,39.5,37725,7.770746964957853,1.0220530465172983,0.007942326135840264
145,Mozambique,Low,31255000.0,,,,,,,,,,,,,,54.0,19153,7.272481085311768,0.6127979523276276,0.004459353703407456
146,Myanmar,Lower middle,54410000.0,,,,,,,,,,,,,,38.1,19070,7.627480075503353,0.35048704282301046,0.0026736133063775033
147,Namibia,,2541000.0,,,,,,,,,,,,,,59.1,4880,7.793627049180335,1.9205037386855568,0.014967689885871719
148,Nauru,High,11000.0,,,,,,,,,,,,,,,2306,6.947267996530785,209.63636363636363,1.4563999999999993
149,Nepal,Lower middle,29137000.0,,,,,,,,,,,,,,32.8,29881,7.827257211699348,1.0255345437073138,0.008027391289425813
150,Netherlands,High,17135000.0,7.0,14.0,8.0,4.0,3.0,29.0,16.0,11.0,2.0,12.0,7.0,8.0,6.0,28.2,2590159,7.696677732911381,151.1618908666472,1.1634443594981039
151,New Caledonia,High,285000.0,,,,,,,,,,,,,,,13013,7.581851709565884,45.65964912280702,0.346237894736842
152,New Zealand,High,4822000.0,22.0,28.0,18.0,21.0,17.0,37.0,34.0,21.0,24.0,21.0,54.0,47.0,58.0,,121700,7.922513824638675,25.23849025300705,0.19995721692243895
153,Nicaragua,Lower middle,6625000.0,,,,,,,,,,,,,,46.2,6952,7.680483244642599,1.0493584905660378,0.008060739622641509
154,Niger,Low,24207000.0,,,,,,,,,,,,,,34.3,3226,7.2954756740006195,0.1332672367497005,0.0009725492626099888
155,Nigeria,Lower middle,206140000.0,,,,,,,,,,,,,,43.0,306170,7.336541651428873,1.4852527408557292,0.010899679344135058
156,Niue,,2000.0,,,,,,,,,,,,,,,293914,7.63484988641156,146957.0,1122.4909000000005
157,Norfolk Island,,1748.0,,,,,,,,,,,,,,,3785,7.097862232779098,2165.3318077803206,15.385469107551488
158,North Korea,Low,25779000.0,,,,,,,,,,,,,,,6356,7.188988516595881,0.24655727530160207,0.001772776290779317
159,North Macedonia,Upper middle,2083000.0,,,,,,,,,,,,,,35.6,16496,7.847405431619787,7.919347095535286,0.06214632741238598
160,Northern Mariana Islands,High,58000.0,,,,,,,,,,,,,,,1125,7.242806394316163,19.396551724137932,0.1406103448275862
161,Norway,High,5421000.0,9.0,16.0,3.0,6.0,16.0,10.0,23.0,2.0,9.0,9.0,57.0,32.0,56.0,27.5,155046,7.972579750525653,28.600996126175982,0.22802372256041326
162,Oman,High,5107000.0,,,,,,,,,,,,,,,24627,7.298012492901761,4.822204816917956,0.03523109457607206
